Date,State,Crop,Modal_Price,Log_Returns,Squared_Log_Returns,Conditional_Volatility,SARIMAX_pred,LSTM_pred
2024-09-01,Madhya Pradesh,Soybean,4123.027192722222,-0.0597967587238912,0.0035756523538832,0.0391511018508926,0.0693525561079338,0.0534202270209789
2024-10-01,Madhya Pradesh,Soybean,4158.500000000001,0.0085667832507514,7.338977526535544e-05,0.0563160850939253,0.0658145052498309,0.0558620244264602
2012-01-01,Odisha,Brinjal,1246.1111111166667,,,,,
2012-02-01,Odisha,Brinjal,1237.5,-0.0069343751797026,4.808555913287594e-05,0.2898930373958792,,
2012-03-01,Odisha,Brinjal,1155.5555555,-0.0685119866976773,0.0046938923212627,0.2341015235557251,,
2012-04-01,Odisha,Brinjal,1045.8333333333333,-0.0997672129732381,0.0099534967844474,0.3403222789315757,,
2012-05-01,Odisha,Brinjal,1337.5,0.2459881839982314,0.0605101866667477,0.2651906969385418,,
2012-06-01,Odisha,Brinjal,2637.5,0.6790292990141609,0.4610807889196627,0.3593925724387657,,
2012-07-01,Odisha,Brinjal,1605.5555555,-0.4963616616145652,0.2463748991207721,0.3815986559284008,,
2012-08-01,Odisha,Brinjal,2069.4444445,0.2538103497686297,0.0644196936496741,0.2600947901617753,,
2012-09-01,Odisha,Brinjal,1703.888888833333,-0.1943669667588592,0.0377785177670394,0.2552126400491862,,
2012-10-01,Odisha,Brinjal,1741.6666666666667,0.0219292889853743,0.000480893715404,0.28353574850944,,
2012-11-01,Odisha,Brinjal,1772.2222221666668,0.0173917426805214,0.0003024727134654,0.1938773650075089,,
2012-12-01,Odisha,Brinjal,1286.8055555,-0.3200714181911461,0.1024457127428915,0.2989408549866048,,
2013-01-01,Odisha,Brinjal,1283.333333283333,-0.0027019740795184,7.300663926389539e-06,0.3586647631204709,,
2013-02-01,Odisha,Brinjal,1193.0555555,-0.0729431496650327,0.0053207030830553,0.1877017823862339,,
2013-03-01,Odisha,Brinjal,1161.111111166667,-0.0271403088051416,0.0007365963620384,0.4015756590784012,,
2013-04-01,Odisha,Brinjal,1108.3333333333333,-0.0465200156827396,0.0021641118591223,0.2080173979775967,,
2013-05-01,Odisha,Brinjal,2125.0,0.6509144169366721,0.4236895781760078,0.3833891034333127,,
